Station_MAC,First_time_seen,Last_time_seen,Power,packets,BSSID,Probed_ESSIDs,OUI
AE:B1:67:D8:BD:A0,1690537936,1690537936,-65,1,(not associated),Galaxy A31CAED,AE:B1:67
22:D8:29:FF:D4:3A,1690537936,1690537936,-65,1,(not associated),Not Probing,22:D8:29
A6:8C:09:13:AA:FB,1690537936,1690537936,-59,1,(not associated),HONOR 30,A6:8C:09
52:CA:70:7C:CC:72,1690537936,1690537936,-59,1,(not associated),Avenue611,52:CA:70
8E:5D:A2:46:45:03,1690537936,1690537936,-63,1,(not associated),iPhone (Дима ),8E:5D:A2
3A:EE:8F:01:2C:C4,1690537936,1690537936,-63,1,(not associated),Galaxy A31CAED,3A:EE:8F
4A:47:84:00:B9:DE,1690537938,1690537938,-51,1,(not associated),region,4A:47:84
12:D8:A0:12:F1:BF,1690537938,1690537938,-51,1,(not associated),region,12:D8:A0
2E:65:69:CD:1B:BB,1690537939,1690537939,-51,1,(not associated),Not Probing,2E:65:69
F2:0D:BF:71:30:04,1690537943,1690537943,-69,4,(not associated),Not Probing,F2:0D:BF
EA:6E:16:FE:D7:35,1690537944,1690537944,-71,3,(not associated),Not Probing,EA:6E:16
82:45:33:F4:EC:38,1690537945,1690537945,-67,1,(not associated),iPhone (Дима ),82:45:33
DE:A0:E2:B0:1F:26,1690537952,1690537952,-59,2,(not associated),Not Probing,DE:A0:E2
72:00:88:B6:C2:40,1690537955,1690537955,-45,5,(not associated),Not Probing,72:00:88
1A:30:36:45:20:C2,1690537956,1690537956,-71,1,(not associated),Not Probing,1A:30:36
B2:D9:67:77:AF:36,1690537961,1690537961,-63,1,(not associated),Not Probing,B2:D9:67
BE:B4:B8:32:9A:BD,1690537961,1690537961,-55,1,(not associated),iPhone (Максим),BE:B4:B8
2A:0C:D6:73:15:6C,1690537961,1690537961,-65,1,(not associated),Avenue611,2A:0C:D6
FE:33:41:62:B6:14,1690537961,1690537961,-65,1,(not associated),Not Probing,FE:33:41
AE:65:DA:DB:A0:E8,1690537961,1690537961,-59,1,(not associated),HONOR 30,AE:65:DA
CE:87:E9:35:0A:4A,1690537961,1690537961,-61,2,(not associated),iPhone (Максим),CE:87:E9
8A:A6:64:F5:DF:3D,1690537961,1690537961,-59,2,(not associated),Galaxy A31CAED,8A:A6:64
8E:4C:C6:BE:80:CE,1690537961,1690537961,-63,1,(not associated),Not Probing,8E:4C:C6
8E:69:CD:D1:6F:0C,1690537962,1690537962,-61,1,(not associated),Not Probing,8E:69:CD
9E:11:6B:42:FB:C8,1690537963,1690537963,-63,1,(not associated),Not Probing,9E:11:6B
1E:B5:FB:D4:01:50,1690537964,1690537964,-73,1,(not associated),Not Probing,1E:B5:FB
A6:65:63:64:DE:F2,1690537964,1690537964,-75,2,(not associated),Not Probing,A6:65:63
26:43:FF:5E:6E:3E,1690537966,1690537966,-49,1,(not associated),Not Probing,26:43:FF
F6:53:EC:C0:A0:AD,1690537968,1690537968,-49,14,(not associated),Not Probing,F6:53:EC
4E:59:E4:2F:0B:48,1690537969,1690537969,-71,1,(not associated),Galaxy A31CAED,4E:59:E4
36:86:44:B3:6E:39,1690537969,1690537969,-57,1,(not associated),iPhone (Дима ),36:86:44
1E:F9:C8:B2:92:33,1690537969,1690537969,-63,1,(not associated),iPhone (Максим),1E:F9:C8
C2:B9:1F:A1:C7:83,1690537969,1690537969,-63,1,(not associated),Galaxy A31CAED,C2:B9:1F
BE:C0:51:79:44:B0,1690537969,1690537969,-63,1,(not associated),Avenue611,BE:C0:51
46:37:3C:26:D0:17,1690537969,1690537969,-59,2,(not associated),Avenue611,46:37:3C
CE:11:A9:84:77:F5,1690537969,1690537969,-59,2,(not associated),Not Probing,CE:11:A9
42:03:BB:16:A3:2F,1690537969,1690537969,-59,2,(not associated),Galaxy A31CAED,42:03:BB
76:6B:EB:6F:28:41,1690537969,1690537969,-59,1,(not associated),iPhone (Максим),76:6B:EB
FA:67:0F:ED:0B:6D,1690537969,1690537969,-57,1,(not associated),iPhone (Дима ),FA:67:0F
2E:59:7C:AD:16:7C,1690537969,1690537969,-59,1,(not associated),HONOR 30,2E:59:7C
BA:25:7F:41:C0:E8,1690537969,1690537969,-51,2,(not associated),HONOR 30,BA:25:7F
82:E4:A4:0A:55:BF,1690537969,1690537969,-57,2,(not associated),Avenue611,82:E4:A4
2E:C2:FF:A1:CC:1F,1690537969,1690537969,-61,1,(not associated),Galaxy A31CAED,2E:C2:FF
6A:1A:B6:A0:BC:94,1690537969,1690537969,-61,1,(not associated),iPhone (Максим),6A:1A:B6
D2:AB:F5:38:E8:98,1690537969,1690537969,-61,1,(not associated),Not Probing,D2:AB:F5
A6:F0:11:5B:F3:6D,1690537970,1690537970,-61,2,(not associated),HONOR 30,A6:F0:11
BA:04:AA:78:62:61,1690537970,1690537970,-61,2,(not associated),Galaxy A31CAED,BA:04:AA
B6:0D:A1:26:37:AD,1690537970,1690537970,-61,1,(not associated),Avenue611,B6:0D:A1
C2:16:97:12:FB:55,1690537970,1690537970,-61,1,(not associated),iPhone (Максим),C2:16:97
5A:8B:63:5C:95:4A,1690537970,1690537970,-61,1,(not associated),iPhone (Дима ),5A:8B:63
0E:78:70:28:3A:AA,1690537971,1690537971,-61,1,(not associated),Not Probing,0E:78:70
DA:BC:99:4D:41:A3,1690537976,1690537976,-65,1,(not associated),Not Probing,DA:BC:99
2A:3C:9F:73:D3:70,1690537976,1690537976,-67,1,(not associated),Not Probing,2A:3C:9F
A2:9B:34:7C:2F:BF,1690537977,1690537977,-55,2,(not associated),Not Probing,A2:9B:34
A2:13:5F:84:16:80,1690537977,1690537977,-55,1,(not associated),Not Probing,A2:13:5F
4A:5D:79:B5:F6:02,1690537977,1690537977,-67,1,(not associated),Not Probing,4A:5D:79
